start_date,priority,experience_cat,team_size,budget,type,status,end_date
2025-04-01,medium,medium,7,43200,bug,completed,2025-05-30
2025-04-01,medium,medium,4,36800,feature,completed,2025-04-23
2025-04-01,medium,low,3,47700,bug,completed,2025-04-29
2025-04-01,medium,low,9,37000,chore,completed,2025-05-31
2025-04-01,medium,medium,4,58500,chore,completed,2025-04-15
2025-04-01,high,low,6,47000,bug,completed,2025-04-19
2025-04-01,medium,medium,8,42000,bug,completed,2025-04-16
2025-04-01,medium,medium,4,51000,bug,completed,2025-04-14
2025-04-01,medium,low,8,46400,bug,completed,2025-04-12
2025-04-01,medium,high,7,41700,bug,completed,2025-04-12
2025-04-01,medium,low,5,45100,feature,completed,2025-04-30
2025-04-01,low,medium,7,45600,feature,completed,2025-04-08
2025-04-01,medium,low,5,44300,feature,completed,2025-04-16
2025-04-01,low,medium,7,71900,doc,completed,2025-04-05
2025-04-01,medium,medium,9,43500,bug,completed,2025-04-11
2025-04-01,medium,medium,2,55800,feature,completed,2025-05-01
2025-04-01,medium,medium,6,44600,bug,completed,2025-04-09
2025-04-01,low,medium,6,23000,chore,completed,2025-04-07
2025-04-01,medium,high,4,56200,bug,completed,2025-04-17
2025-04-01,medium,high,4,58300,feature,completed,2025-04-20
2025-04-01,medium,medium,5,31400,bug,completed,2025-05-31
2025-04-01,medium,medium,4,53200,chore,completed,2025-05-09
2025-04-01,medium,medium,6,27100,bug,completed,2025-04-24
2025-04-01,low,medium,6,44400,feature,completed,2025-04-15
2025-04-01,medium,medium,4,45200,bug,completed,2025-05-17
2025-04-01,medium,high,6,80500,chore,completed,2025-04-28
2025-04-01,medium,low,4,49000,bug,completed,2025-04-04
2025-04-01,high,medium,7,43900,bug,completed,2025-04-19
2025-04-01,low,high,10,31000,bug,completed,2025-04-06
2025-04-01,low,high,6,36100,bug,completed,2025-05-11
2025-04-01,medium,medium,4,50600,bug,completed,2025-04-29
2025-04-01,high,high,5,61800,bug,completed,2025-05-03
2025-04-01,high,medium,4,66200,bug,completed,2025-05-12
2025-04-01,medium,low,6,58400,chore,completed,2025-05-15
2025-04-01,medium,low,6,51600,bug,completed,2025-04-13
2025-04-01,low,low,6,71600,feature,completed,2025-04-03
2025-04-01,low,high,3,74500,bug,completed,2025-04-09
2025-04-01,high,high,5,67500,bug,completed,2025-04-13
2025-04-01,high,medium,4,32000,chore,completed,2025-04-23
2025-04-01,high,low,9,79300,chore,completed,2025-04-03
2025-04-01,medium,high,4,56400,bug,completed,2025-04-26
2025-04-01,medium,medium,10,49000,doc,completed,2025-05-16
2025-04-01,high,medium,5,56500,bug,completed,2025-04-21
2025-04-01,medium,medium,6,48700,bug,completed,2025-04-30
2025-04-01,medium,low,4,51300,feature,completed,2025-05-05
2025-04-01,high,medium,4,21900,feature,completed,2025-04-16
